Researcher,Title,Institution,Year,Length,Per_annum_budget,Field,Keywords
??? ????,????? ?????? ??????????? ???????? ?? LeEIX2 ???????? ?????? ????? ??????,Tel Aviv University,2018,4,270000,Plant Science," autophagy, autophagy, Plant Defense responses, Receptor like protein, Pra1, LeEix, PRR"
??? ?????,"????? ???? ????? ?""? microRNA ???? ???? ???? ????? ?????? ??????? ?? ????? ??????? ?????",Tel Aviv University,2011,4,273000,Neurobiology,"transcriptome, genetics, miRNA, disease, deafness, cochlea, vestibule, mrna, hearing loss, hair cells"
??? ?????,???????´´? ???????? ????? ??????? ??????? ??????? ????????? ????????.,Tel Aviv University,2007,4,310000,Medicine - Genetics & Oncology,"development, microRNA, microRNA, microRNA, microRNA, microRNA, microRNA, microRNA, Dicer, MicroRNA, microRNA, MicroRNA, deafness, cochlea, vestibule, inner ear, Dicer1"
??? ?????,"????? ??? ?? RNAs ???? ???????, ????? ???????, ???????? ????? ??????? ????? ???????",Tel Aviv University,2016,3,217000,Molecular Biology,"microRNAs, deafness, hearing loss, Sensory organs, Noncoding RNAs, lincRNAs"
??? ?????,?????? ?? RNA ???? ?? ????? ????????? ?? ????? ???????,Tel Aviv University,2020,4,260000,Molecular Biology,"genomics, non-coding RNA, deafness, Hearing"
??? ?????,?????? ?? RNA ???? ?? ????? ????????? ?? ????? ???????,Tel Aviv University,2020,4,38000,Molecular Biology,"genomics, non-coding RNA, deafness, Hearing"
???? ?????,??-??? ??? ?????? ????? ????? ?? ????? ??????: ????? ???????? ?? ??-????????? ?? ????? ???????? ????? ??????? ????????,Weizmann Institute,2017,5,340000,Microbiology,"macrophages, RNA-seq, Salmonella, heterogeneity"
???? ????????,????? ????? ?- mTOR ?????? ??????? ?????? ??????? ?????? ?????? ?????? ???????? ???? ??????? ?????? ??????-?? ???? ???? ?? ??????? ????? ??? ????? ,Hadassah Hospital,2017,4,250000,Medicine - Metabolic and Endocrine Systems,"Liver Regeneration, Partial hepatectomy, Blood loss, Resuscitation"
???? ????????,????? ????? ?? ???? ???? ?????  ????? ????? ?????? (MRI) ????? ??? ????? ???????? ?????? ???? ????? ?? ????,Hadassah Hospital,2005,3,198000,Medicine - basic research,"imaging, metastasis, MRI, Angiogenesis, angiogenesis, Angiogenesis, angiogenesis, angiogenesis, regeneration, liver perfusion, liver tumors"
???? ????????,????? ????? ????? ?????? ???????? ??????? ??? ????? ????? ?????? ?????? ???????? ?????? ???????? ????-?????????? ??????? ????,Hadassah Hospital,2010,4,265000,Medicine - Biomedical Engineering,"imaging, MRI, liver, Angiogenesis, angiogenesis, tumor, Angiogenesis, angiogenesis, angiogenesis, anti-angiogenic therapy, hemodynamic"
???? ???????, ?? ???? ?? ????? - Aire?,Weizmann Institute,2013,3,192000,Immunology,"gene expression, autoimmunity, gene expression, Autoimmune regulator (AIRE), Thymus, Immunologic tolerance, medullary thymic epithelial cells (mTECs)"
???? ???????,????? ???? ?????? ????? ?????????? ??????? ????? ????? ??? ????? ??????,Weizmann Institute,2016,5,440000,Immunology,"histone modification, Epigenetics, autoimmunity, Autoimmune regulator (AIRE), Thymic epithelial cells, Promiscuous gene expression, Central tolerance"
???? ???????,"????? ????????, ???????? ??????????? ?? ????????? ??? ????? ???? ????????? ?????? ??????",Weizmann Institute,2021,5,300000,Immunology,"Thymic epithelial cells, Thymus, medullary thymic epithelial cells (mTECs)"
????? ???????,????? ?????? ?????? ?????????? ?? ???? ??????? ?? ???? ???? ????: ????? ???? ?? ????? ???? ???? ???,Ben Gurion University,2014,4,340000,Ecology,"risk of predation, fear management, Predator prey behavioral games, time allocation, Game Models, Predator Prey Relationship"
????? ???????,"?????? ?? ????? ???-?????, ?????? ?????, ?????? ??? ?????? ?????? ?????? ????? ???????? ??????? ????? ????",Ben Gurion University,2002,3,0,Ecology, 
????? ???????,??? ????? ???? ?? ??? ´´????´´ ?? ????? ??? ????? ?? ???? ????? ?????: ????? ?? ???? ??? ??? ???? ???.,Ben Gurion University,2008,4,147000,Ecology,"risk management, predator-prey interactions, time allocation, apprehension, Ecology of fear"
???? ?????,?????? ????????? ????? ?????? ?? ????? ????? ????? ?? ??????????? ?????? ??????: ?????? ?? ???????? ?? ?????? ???????,Haifa University,2020,4,260000,Microbial Ecology and Marine Biology  ,"resistance, Genome evolution, nitrogen fixation, experimental evolution, Cyanobacterial Blooms, cyanophage, cost of resistance"
???? ?????,?????? ????????? ????? ?????? ?? ????? ????? ????? ?? ??????????? ?????? ??????: ?????? ?? ???????? ?? ?????? ???????,Haifa University,2020,4,38000,Microbial Ecology and Marine Biology  ,"resistance, Genome evolution, nitrogen fixation, experimental evolution, Cyanobacterial Blooms, cyanophage, cost of resistance"
???'?? ?. ???????,???? ??????? ?? ???? ?????? ??????? ????? ??? ?????? ???? ??????? ????????,Hebrew University,2008,4,175000,Medicine - Neurological & Psychiatry,"stress, genes, HPA axis, antenatal and fetal development, maternal smoking"
???? ???????,????? ??????? ??? ???? ???????????? ????????: ??? ???????? ????-??????? ?? ?????? ? PDI ????????,Ben Gurion University,2021,5,270000,Cell Biology,"cancer, ERAD, Endoplasmic reticulum stress (ER stress), Unfolded protein response (UPR), proteostasis control"
???? ???????,????? ??????? ??? ???? ???????????? ????????: ??? ???????? ????-??????? ?? ?????? ? PDI ????????,Ben Gurion University,2021,5,38000,Cell Biology,"cancer, ERAD, Endoplasmic reticulum stress (ER stress), Unfolded protein response (UPR), proteostasis control"
???? ???????,?????? ????????? ??????????? ???????? ??????-??? ?? ?????????????? ????? ??????? ????? ????? ???? ?? ???????- ???? ?? ????? ?????,Ben Gurion University,2002 ???????,,0,medicine - general, 
????? ???,????? ??? ?????????? ?? ??? ??????? ?????,Ben Gurion University,2021,5,270000,Ecology,"Desert, co2 fluxes, water vapor adsorption, sea breeze, non rainfall water inputs"
????? ???,???? ??-?????? ?????? ?????? ??? ??????? ????? ???,Ben Gurion University,2016,4,252590,Ecology,"ecosystem functioning, Evaporation, Dew formation, water vapor adsorption, energy balance, water balance, Negev Desert, non-rainfall water inputs, dryland"
???? ????,??????? ????? ??????? ??????????? ?? ????? ????? ??? ?????????????,Weizmann Institute,2007,4,280000,Medicine - Cytoskeleton & Support Systems,"Cell Adhesion, Osteoporosis, osteoclast, bone resorption, podosome, cell-crystal interaction"
??? ????,"?????? ?????, ???????? ???????????? ?? ????????????, ????? ??????????? ??????.",Technion,2006,4,252000,Biochemistry,"photosynthesis, Crystallography, energy transfer, structural biology, pigment-protein complexes, complex assembly"
??? ????,?????? ????? ?? ??????? ???????? ??????? ?? ????? ???? II ??????????? ??-??? ???????????? ??????? ???? X,Technion,2002,4,0,Biophysics , 
??? ????,????? ????????? ??????? ??? ?????? ?? ?????? ????? ?????? ????????????,Technion,2012,4,220000,Biochemistry,"photosynthesis, energy transfer, x-ray crystallography, electron microscopy, Protein Structure and function, ultra-fast spectroscopy"
??? ????,??? ????? ????? ?? ?????? ????? ??????? ????? ????? ?? ????????????,Technion,2016,5,277990,Biochemistry,"photosynthesis, cyanobacteria, energy transfer, x-ray crystallography, ultra-fast spectroscopy, light-harvesting, cryo-transmission electron microscopy, solar energy conversion."
??? ????,??? ??????: ??? ??? ????? ??????? ??????? ??? ?????? ?????? ?????? ????????????,Technion,2021,5,270000,Biochemistry,"photosynthesis, cyanobacteria, Spectroscopy, energy transfer, cryo-electron microscopy, structural biology,"
???? ????-????????,????????????? ?? ??????'??? ??????? ??????? ?????? ????? ???????? ?? ???? ???,Tel Aviv University,2017,4,250000,Medicine - Biomedical Engineering,"Self-assembly, Tissue engineering, peptides, self-assembly, Hydrogels, biomineralization, Scaffold, Nano structures"
?? ???,?????? ?? ????????? ????????????? FTSH6 ?- FTSH11 ?????? ????? ???? ???,Hebrew University,2018,4,270000,Plant Science,"Proteolysis, photosynthesis, chloroplast, protease, heat stress, thylakoids, FTSH protease, chloroplast envelope"
?? ???,????? ??????? ???????????? ????? ???????,Hebrew University,2013,5,340000,Plant Science,"Proteolysis, Deg protease, thylakoid, chloroplast"
?? ???,???? ??????? ?????????? ??????? ????????? - ????? ??????? Rhomboid,Hebrew University,2004,4,264000,Botany, 
?? ???,???? ????-?????? ?????? Deg1,Hebrew University,2008,4,158000,Plant Science,"Deg protease, thylakoid, chloroplast, DegP, HtrA"
???? ?????,"???? ??? ????????, ??????? ??-MHC ??????? ?? ??? ????? ????",Technion,2005,4,154000,Biochemistry,"cancer, proteomics"
???? ?????,???????? ????? ??-??? ??????? ????? ?????? ??????,Technion,2016,4,326000,Immunology,"mass spectrometry, Immunopeptidome, HLA peptidome, MHC peptidome, cancer antigens, immunotherapy."
???? ???,???????? ?? ???????? ?????? ????? ?.?.?. ????????,Hebrew University,2017,5,300000,Molecular Biology," chromatin, genomics, bioinformatics, cancer, Chromatin, Epigenetics, Transcription, DNA damage, DNA damage, DNA repair, cisplatin, High-throughput sequencing, histone modifications, UV damage, nucleotide excision repair, histone acetylation"
??? ?????,????? ?????-??????? ??????? ???????? ?? ???-??????,Tel Aviv Sourasky Medical Center,2017,3,250000,Medicine - Blood & Respiratory Systems,"Extracellular vesicles (EVs), Beta Thalassemia"
??? ?????,"????? ???????????? ???? ??????? , ??????? ?????????? ??????? ?????????? ?????? ???? ??",Rambam Health Care Centre,2012,3,193500,Medicine - Genetics & Oncology,"breast cancer, Angiogenesis, angiogenesis, Angiogenesis, angiogenesis, angiogenesis, thrombogenicity, Microparticles"
??? ?????????,????? ??????? ?? ????? ????? ??? ????? ???? ??????? ?? ?????? ??? ???  ,Technion,2011,4,292500,Signal Transduction,"mitosis, Microcephaly, MAPK, JNK, protein-protein interaction, centrosome, cell stress, WDR62, MKK7, mRNA homeostasis, proteomic"
??? ?????????,????? ?????? ?? ????? ????? ??? ?- JNK ?????? ???????,Technion,2007,4,245000,Signal Transduction,"mitosis, Apoptosis, cell cycle,  apoptosis, kinases, Scaffold, c-Jun N-terminal kinase, centrosome, DNA demage, cell cycle check-point"
??? ?????????,"????? ????? ??????? JDP2 ? ATF3 ?????? ?????? ? bZIP, ?????????????? ?? ???",Technion,2017,4,330000,Medicine - Blood & Respiratory Systems,"Cardiomyocytes , Transcription factors, cardiac hypertrophy,  transcription factors, cardiac remodeling, pressure overload, physiological hypertrophy"
???? ??????,????? ??????? ???? ?? ???????? ??????? PCNA,Ben Gurion University,2017,4,250000,Biochemistry,"pcna, DNA replication, Polymerase delta, in vitro replication assays, in vivo replication rates"
???? ??????,????? ??????? ???? ?? ???????? ??????? PCNA,Ben Gurion University,2017,4,0,Biochemistry,"pcna, DNA replication, Polymerase delta, in vitro replication assays, in vivo replication rates"
???? ??????,????? ?????????? ??? ???????? ??????? ???? ????? ????? ????,Ben Gurion University,2021,4,270000,Molecular Biology,"Transcription, DNA replication, Live-Cell imaging, transcription-replication conflicts"
??? ??????,???? ???????? ??? ???? ?????? ??-??? ??????? ?????? WIN/SHINE,Weizmann Institute,2006,4,301500,Plant Science,"metabolism, lipids, wax, cuticle, lipids, lipids, epidermis, plant surface, AP2 transcription-factor, dehiscence"
??? ??????,???? ?????? ?? ????? ?????? ????? ?????? ?-WAX ACCUMULATOR (WAC) ?????? ??? ???? ??????? ?? ????? ???????,Weizmann Institute,2011,4,312000,Plant Science,"Tomato, transcription factor, Regulation, Fruit, wax, surface, cuticle, epidermis"
??? ??????,???? ????? ?????? ???????? ?????? ?????? ?? ????? ?????? ??????????? ??????? ????? ???? ???? ??? Nicotiana Glauca,Weizmann Institute,2018,4,310000,Plant Science,"surface, cuticle, plant metabolism, epicuticular wax, cutin, cuticular lipids, non-stomatal water loss"
??? ??????,?????? ?????? ?????? ????? ??????????? ???????? ?????? ???? ???????? ????? ???????? ??????? ?? ??? ????????,Weizmann Institute,2015,3,200000,Plant Science,"Tomato, plant metabolism, Secondary metabolism, Fruit ripening, alkaloids"
???? ????????,???? ???????? ?? ?????? ????????????: ????? ????? ?????? ????? ??????,Tel Aviv University,2021,5,270000,Computational & Systems Biology,"computational biology, antibiotic resistance, medical informatics, theoretical modeling., machine learning for healthcare"
??? ????,??? ???? ?????? ???? ?????? ??????? ??????? ?????? ,Tel Aviv University,2014,3,220000,Ecology,"Evolution, Evolution, evolution, evolution"
??? ????,?????? ?? ??????? DNA ???? ??????????? ????? ?????? ??????? ????? ????????? ?? ?????,Tel Aviv University,2009,3,117000,Plant Science,"Development
DNA Methylation
Epigenetics
Physcomitrella"
??? ????,???? ?????? ?? ?????? ????????? AtYY1-Like ?????? ?-Zinc Finger ????? ??????? ?????? ?????????? ??????????????? ?? ????,Tel Aviv University,2004,4,286000,Botany, 
???? ?????,?????? ???????? ?? ??????? ?????? ?????? ??? ?????? ??????? ???? ???-???? ?? ??? ?????? ???? ??????? ???????? ????????????,Ben Gurion University,2021,5,300000,Signal Transduction,"Transporters, kidney stones, Citrate, succinate, slc26"
???? ?????,"??????????? ?? ??????? ???? ?""? ???????? ?????? ????? ??????? ??????? ???? ????? ",Ben Gurion University,2016,4,272000,Biochemistry,"Kidney, homeostasis, epithelia, Transporters, NaDC-1, receptor, succinate, IRBIT, slc26a6, organic anion transporters, OAT, proximal tubule"
????? ???????,????? ??????? ?? ?????? ???-??? ?? ???????? ???? ??????,Weizmann Institute,2019,5,320000,Molecular Biology,"RNA-seq, high-throughput techniques, Nuclear translocation, RNA binding proteins, long noncoding rnas"
????? ???????,"????? ???????? ????????? ?????? ??????? ???? ?????? ??????? ????????? ??""? ?????? ??? ???? ??????? ????????",Weizmann Institute,2014,5,330000,Bioinformatics & Computational & systems Biology,"computational biology, long noncoding rnas, comparative genomics, high throughput sequencing"
????? ?????,???? ????? ????? ??????? ????????,Weizmann Institute,2005,3,299000,Neurobiology,"object recognition, classification, vision, cortex, Model, model, Model, Model, Cortex, visual cortex, hierarchy, features"
???? ?????????,????? ??????? ????? ????? ?????: ?????? ????????????????? ??????? ???????,Weizmann Institute,2008,4,227000,Neurobiology,"hippocampus, learning and memory, Learning and memory, episodic memory, Hippocampal place cells, Spatial memory, Echolocation, Electrophysiolgy, Behavioral neurobiology."
???? ?????????,?????? ?????????? ??- ????-??????? ????? ?????????? ?? ??????,Weizmann Institute,2013,5,373000,Neurobiology,"electrophysiology, hippocampus, learning and memory, Learning and memory, navigation, Behavioral neurobiology, Spatial memory, place cells, grid cells, head-direction cells, entorhinal cortex, presubiculum"
???? ?????????,????????????? ?? ???????? ??????-?????? ??????????: ?????? ??????,Weizmann Institute,2018,5,338000,Neurobiology,"hippocampus, social cognition, Behavioral Neuroscience, social memory, social neuroscience, spatial cognition, neurophysiology, systems neuroscience, Spatial memory, place cells, hippocampal area CA1, hippocampal area CA2, bats"
???? ???,??? ???? ???????? SMC ??-??? ????????,Bar Ilan University,2020,5,270000,Cell Biology,"cohesin, condensin, smc3 acetylation, esco1, esco2, eco1"
???? ???,??? ???? ???????? SMC ??-??? ????????,Bar Ilan University,2020,5,38000,Cell Biology,"cohesin, condensin, smc3 acetylation, esco1, esco2, eco1"
???? ???,??? ?????? Scc3 ?????? ????? ???????? ???????? ??????? ??????? ???????? ???????? ??????,Bar Ilan University,2016,4,272000,Cell Biology,"yeast, yeast, cohesin, cohesion, structural maintenance of chromosome, SMC proteins, genome instability"
??? ?????,?? ???? ????? ?????? ?????? ?GroE ????? ??????,Bar Ilan University,2013,4,222000,Bioinformatics & Computational & systems Biology,"machine learning, GroEL, protein folding, protein folding"
??? ?????,??????? ????? ???? ????????: ?? ???? ????? ??????? ?? ??????? ?????? ????? ??????? ????.,Bar Ilan University,2008,3,199000,Bioinformatics & Computational & systems Biology,"protein structure, Lattice Models, Double mutant cycles, Long-range coupling, correlated mutations"
???? ????????-????,??????? ?? ?????? ???????? ???????? ?????????? ?? ?????? ????? ??????,Volcani Centre,2007,4,198000,Plant Science," mitochondria, Splicing, mitochondria, Chloroplasts, Maturases, Higher plants, group II introns"
???? ????????-????,???? ????? ?? ?????? ?? ????? ????????????? ??????? ?? ????? ?????? ??????,Hebrew University,2015,5,380000,Plant Science," mitochondria, Splicing, mitochondria, Plants, plants, Maturases, Group-II introns, RNA binding factors, Posttranscriptional RNA processing"
???? ????????-????,???? ??????? ?? ??????? ?? ???? ???????? ??????,Hebrew University,2011,4,273000,Plant Science,"Splicing, Maturases, Group-II introns, Mitochondria and Chloroplasts, Higher plants"
???? ????????-????,"?????? ?? ????? ??????????????, ???????? ?? ??????? ??????????????? ???????? ????? ?? ???????? ?? ????? ?????? ??????",Hebrew University,2020,5,290000,Plant Science,"Gene expression pathway, Splicing, mitochondria, OXPHOS, Angiosperm, RNA metabolism, respiration, group II introns"
???? ?????????,?? ??? ?? ?????? - ????? ?? ?????? ???????? ?? ????? ?????? ??? ,MIGAL Galilee Research Institute,2021,3,270000,Ecology,"yeast-like symbionts (yls) , hermetia illucens, mycobiota, black soldier fly, metabolic interactions"
???? ?????????,?? ??? ?? ?????? - ????? ?? ?????? ???????? ?? ????? ?????? ??? ,MIGAL Galilee Research Institute,2021,3,38000,Ecology,"yeast-like symbionts (yls) , hermetia illucens, mycobiota, black soldier fly, metabolic interactions"
???? ?????????,??? ?????-???? ?? ??? ?????? Slit-Robo-srGAP,Bar Ilan University,2015,4,300000,Biochemistry,"Neuronal Migration, saxs, x-ray crystallography, Cell signaling, transmembrane receptors, membrane associated proteins, axon-guidance"
???? ?????????,????? ?????-???? ?? ????? ?????? Slit-Robo,Bar Ilan University,2019,5,310000,Biochemistry,"Slit, Robo, x-ray crystallography, axon guidance, cell surface receptors"
???? ?????????,????? ????? ?? ?????? ????? ?????? PDGFR-alpha ?? ??? Glycoprotein B ?-Cytomegalovirus ?????,Bar Ilan University,2010,4,156000,Biochemistry,"Receptor Tyrosine kinase, structure-function, x-ray crystallography, RTK, PDGF, single-particle electron microscopy, PDGFR, HCMV gB, human cytomegalovirus glycoprotein B"
?????? ????????,"????? ?""? SV40: ?????? ??? ??????? ?????",Hebrew University,2012,3,174000,Microbiology,"p53, signaling, Signaling, Signaling, signaling, host defense"
?????? ????????,???? ?????? ??? SV40 ???????? ?? ?????? ????? ????? ?????,Hebrew University,2007,4,292000,Microbiology,"Virus assembly, SV40, virus-host interactions"
?????? ????????,???????? ????????? DNA-????? ????? ?????? ?? ????? SV40,Hebrew University,2004,3,132000,Molecular Biology,"Virus assembly, simian virus 40, protein-DNA comlexes"
???? ?????,??? ????? ?? ?????? ???? ???? ????? ????? ???????? ??? ??????,Bar Ilan University,2021,5,300000,Medicine - Neurological & Psychiatry,"Alzheimer's disease, APP, amyloid-beta, Down syndrome, feto-maternal transfer"
???? ?????,??????????????? ?????? ?-arabinose ?????? Azospirillum brasilense,Hebrew University,2005,4,264000,Microbiology,"Azospirillum brasilense, exopolysaccharides, arabinose, rhizosphere competence."
???? ?????,????? ??? Lin28 ?? ??????? ?????? ???????,Bar Ilan University,2015,5,350000,Molecular Biology,"developmental biology, Pluripotent stem cells, Lin28, Lung Biology"
???? ????,?????? ??? ?????? ??'?????? ???????? ???? ????????,Hebrew University,2019,5,300000,Plant Science,"Tomato, auxin, gibberellin, ga2oxidase, leaf development, auxin response factors, redundancy, gene families"
???? ????,????? LANCEOLATE ?? ??????? ????? ????,Hebrew University,2005,4,246000,Botany,"Tomato, miRNA, TCP, mutations, leaf shape, LANCEOLATE, meristem, leaf dissection, KNOXI"
???? ????,??????? ??????? ?? ??????? ?????? ??????? ?? ????? ???? ????,Hebrew University,2014,5,330000,Plant Science,"Tomato, auxin, specificity, repressor, auxin response factor (ARF), compound leaf, leaf patterning"
???? ????,????? ??????? ??????????? ?? ???? ???? ???????,Hebrew University,2010,4,328000,Plant Science,"Tomato, TCP, leaf development, compound leaf, LANCEOLATE, KNOXI genes, miR319"
???? ?????, ???????? ????????? ??????? ?????? ?? ????? ?? ???? ???????,Technion,2015,5,300000,Molecular Biology,"differentiation,  chromatin, Chromatin, Drosophila genetics??, Differentiated identity, gene-regulation, nuclear organisation, ubiquitin and ubiquitin like proteins"
???? ?????,????? ??????????? ????? ???? ???? ????? ?????? ????? ??????? ??????,Technion,2009,4,117000,Molecular Biology,"degradation, degradation, sumoylation, ubiquitylation, Groucho, Sumo-Dependent -Ubiquitin-Ligase (STUbL), Transcriptional-repression, Transcriptional-co-factors, Hairy/HES repressors  Drosophila, Embryonic development."
???? ?????,???? ????? ?? ??? ?????? ??-??? ??-???????????? ,Technion,2020,3,250000,Developmental Biology,"Ubiquitin, Drosophila melanogaster, cell identity, regulation of gene expression, nonstop/dusp22"
???? ?????,??? ????? ??? ????-???????? ?? ?????? ???????????? StAR ????? ?? ???? ????: ????? ????? ???????????? ?????? ??????? ?? ????? ???? ?????? ?????? ???,Hebrew University,2017,3,250000,Medicine - Metabolic and Endocrine Systems,"myocardial infarction, Cardiac fibroblasts, Steroidogenic acute regulatory StAR protein and novel anti-apoptotic activity, cardiac IL-1alpha"
???? ?????,"????? ??????? ????????? ??????? ???????????? ??????? ??????? ????? ?????????, StAR ?-(CYP11A1 (P450scc",Hebrew University,2007,4,314000,Medicine - Metabolic and Endocrine Systems,"StAR turnover, mitochondrial proteases, StAR mechanism of action"
???? ?????,????? ????? ?? StAR : ????? ??????? ?? ???????? ?????? ?? ????? ????????????? ?????? ?????????? ?? ????????? ??????????? ??????,Hebrew University,2003,4,295000,Cell Biology, 
???? ?????,????? ???? ???? ????? ?????? ????-????????? ?????? ?? StAR ??????????????? ?? ?? ???? ???? ????,Hebrew University,2012,5,213000,Medicine - Metabolic and Endocrine Systems,"Steroidogenic acute regulatory protein (StAR), rodent heart infarction, myofibroblasts, anti-apoptotic robustness"
????? ????,?????? ?? ?????? ????????? ???????? ?????? ????? ??????? ???????????? ??-??????,Hebrew University,2010,3,203000,Microbiology,"cyanobacteria, Halophilic, salterns, hypersaline, osmotic solutes, Photosynthetic bacteria, Glycine betaine, Ectoine"
????? ????,??????? ???????????? ???????? ?????????? ??????????? ????? ???,Hebrew University,2013,3,230000,Microbiology,"Anaerobic bacteria, hypersaline, acidic proteins, Halophilic bacteria, Halanaerobiales, Halanaerobiaceae, Halanaerobium, Halothermothrix, Natranaerobiales, potassium accumulation, osmotic solutes, compatible solutes, osmotic adaptation, salt-dependent enzymes"
????? ????,?????? ???????? ?? ?????? ???????? ??????? Salinibacter ruber ??????? ????? ????? ???,Hebrew University,2003,3,141000,Ecology, 
????? ????,"???? ?????? ??? Haloquadratum ,Dunaliella ?- Salinibacter ??????? ????? ????? ???",Hebrew University,2007,3,228000,Ecology,"Halophilic, salterns, Dunaliella, Haloquadratum, Salinibacter, glycerol, dihydroxyacetone, poly-beta-hydroxyalkanoate"
??? ???-???,?????? ???? ????????? ????? ??????? ??? ?????? ?????? ????????? ??????? ???????? ??????? ???????? ??? ???.,Hebrew University,2006,4,135000,Medicine - Metabolic and Endocrine Systems,"diabetes, oxidative stress, Oxidative stress, oxidative stress, genetic factors"
???? ????-?????,??????? ???? ??????? ?? ?????? ?????? ???? ????? ???????,Weizmann Institute,2017,4,280000,Neurobiology,"caenorhabditis elegans, ubiquitin-proteasome system, Sexual dimorphism, protein degradation, Neuronal circuits, Synapse elimination, Neuronal Development, synaptic pruning, sex-specific connectivity, dimorphic behaviors"
???? ????-?????,????? ??????? DCC ??????? ????????? ?? ????? ??????,Weizmann Institute,2021,5,270000,Neurobiology,"C. elegans, Parkinson's disease, signaling pathways, protein degardation, synaptic remodeling, synaptic connectivity, neuronal degeneration, Pin1, dcc/unc-40, synapse pruning"
???? ?????????,????? ???? ??? ????? ????? ????? ????? ?????? ???? ??,Ben Gurion University,2021,4,270000,Computational & Systems Biology,"RNA secondary structure, deep learning, protein-rna binding, High-throughput sequencing, RNA modifications"
???? ?????,????? ?? ?????? ?? ??????? ?????? ?? ??????? ?????? ?? ??? ????? ? CT ?? ???? X,Technion,2014 ???????,,345000,Medicine - Biomedical Engineering,"CT,  ct, X-RAY, Thermal Ablation, Minimal invasive, Image Guided Therapy"
???? ?????,?????????? ??? ????? ?????????? ?? ??? ????? ?????? ??????? ?????? ????? ???????????? ????? ??-?????,Technion,2011,3,156000,Medicine - Biomedical Engineering,"MRI, ultrasound, HIFU, Elastography, Acoustic radiation foce, Therapeuetic Ultrasound"
??? ??????-???,????? ?????? ?????? ????? ????? ?????? ??????? ?????? ??????? ???? ??-?????,Volcani Centre,2020,4,250000,Plant Science,"ethylene; co2; guard cell; gas exchange; arabidopsis, stomatal conductance regulation, apoplastic fluid, hormonal profile"
